,battery_energy_density,success,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,250,True,60.0,200.0,0.3888888888888889,1766.4829064977887,29.999999999999996,6.042783028866617,1.8205695129149813,1.7498200132544977,317.4878956475239,0.3707820773654343,0.04535435594265775,3.0000479624082845,6.7430219124074045,1.7541622864165562,7.653785239704905,2.2564286439319403e-08,2.0658560408925436e-05,600.0,401.0892023789992,259.70340080167716,421.704337683091,83.99051080293007,261.9719955599426,73.62729503945562,230.79859849397815,207.84864710619442,131.5899114529225,207.84864710619442,68.18516440442986,0.2794887799647769,0.009447981251428,0.8132782611699088,1265.7829053891203
1,260,True,60.0,200.0,0.3888888888888889,1734.701787495472,29.999999999999996,5.927668684725515,1.800166407323894,1.7529077078630946,316.91406217656026,0.36411126878793165,0.04490778435569936,3.0001860590133225,6.730109709846598,1.7541657801784631,7.637020669471721,2.767308178164285e-07,5.090079052278167e-05,600.0,382.01956909544595,255.42254971008452,414.8574082558527,82.4093949130833,257.75237882935073,73.15297048592241,227.14378585222124,208.76217554180107,130.28224619068922,208.76217554180107,67.54105981607483,0.2794887799647769,0.009447981251428,0.8080405384696058,1257.630935548349
2,270,True,60.0,200.0,0.3888888888888889,1706.0015520825643,29.999999999999996,5.820396083691195,1.7809740260073827,1.7442434637923732,318.50488179961707,0.35808713299350575,0.045092727544138254,3.0000296856630433,6.716135406814866,1.754161569570855,7.618888197404999,8.904454240621362e-08,3.503465787579976e-05,600.0,364.78328925586874,251.5924944959267,408.64759388063743,80.98409345831486,254.0153598379633,72.73764995188142,223.91738897856908,209.75703954141383,130.8324239339863,209.75703954141383,66.97421190737751,0.2794887799647769,0.009447981251428,0.8034510200113506,1250.487828095716
3,280,True,60.0,200.0,0.3888888888888889,1679.9361914446667,29.999999999999996,5.721496848935712,1.7631224441859878,1.7378269532650208,319.68340994208563,0.35261605340986024,0.0451941983919251,3.000005989943212,6.702193158622232,1.754161015527157,7.600808778359812,9.182965499121565e-09,2.913381264788943e-05,600.0,349.08925971354563,248.13070413404154,403.02987371549466,79.69175145628546,250.65469640836355,72.36712087339143,221.0207150885833,210.75608996487702,131.12890375022528,210.75608996487702,66.46659504945909,0.2794887799647769,0.009447981251428,0.799357949495802,1244.1173901576838
4,290,True,60.0,200.0,0.3888888888888889,1656.155241414891,29.999999999999996,5.630518884351743,1.7465639349330155,1.7329652576058583,320.58079168846797,0.34762446814100223,0.04523833105961794,3.0000009790400815,6.688675213873283,1.7541608238155308,7.583290483805102,1.0036416142611415e-10,1.9796921474817042e-05,600.0,334.72462167362886,244.98136268137836,397.9392700717863,78.51443636125262,247.6058693924598,72.03330382878993,218.39533180903214,211.7309574974884,131.25739114857865,211.7309574974884,66.00769539403962,0.2794887799647769,0.009447981251428,0.7956705622127455,1238.3783559165277
5,300,True,60.0,200.0,0.3888888888888889,1634.3607634618013,29.999999999999996,5.545562245710386,1.7309801261097741,1.72732663287238,321.6271062461819,0.34304984034199165,0.045344892977327064,3.00000264104972,6.674995371983329,1.7541605091887233,7.56557330738825,1.253426162861615e-08,3.599238559985225e-05,600.0,321.5415365669871,242.1128780419886,393.2753943025384,77.43695391572024,244.84822421325316,71.73382088746321,216.02602962894392,212.72378830378562,131.5664309452247,212.72378830378562,65.59447345966535,0.2794887799647769,0.009447981251428,0.7923623702391952,1233.2294996790058
6,310,True,60.0,200.0,0.3888888888888889,1614.3155210652735,29.999999999999996,5.467110803004499,1.716483219483041,1.7249924421971974,322.0625960507601,0.33884237442780757,0.045294550479934054,3.0000000618493625,6.661917718086771,1.754160657057367,7.548646304641489,4.409299592111893e-09,4.381296718736591e-05,600.0,309.3769058838303,239.47904932433136,389.01896831686395,76.44721667668608,242.31994290209985,71.46077166650029,213.85496894624248,213.67887698436917,131.4205901338684,213.67887698436917,65.21665176031144,0.2794887799647769,0.009447981251428,0.7893463709216896,1228.5354108768877
7,320,True,60.0,200.0,0.3888888888888889,1595.8161377238216,29.999999999999996,5.395666612605782,1.7031904577126789,1.725547643904281,321.95456330496404,0.33495938197988057,0.04510598622608829,3.000041134526402,6.650192110841313,1.7541621163656302,7.533477835625651,2.9642248122740966e-07,2.7883834199059318e-05,600.0,298.09281396053075,237.03908372769945,385.1546309190755,75.53488963109304,239.96541921281965,71.20708288357005,211.8299373202165,214.540217394335,130.86989392039655,214.540217394335,64.86499631781149,0.2794887799647769,0.009447981251428,0.7865448120226118,1224.175076250714
8,330,True,60.0,200.0,0.3888888888888889,1578.6827774797828,29.999999999999996,5.3258315378011565,1.6901116611017974,1.7197985754949832,323.0346990532342,0.3313631157040127,0.045264956343507357,3.0000050775656995,6.636739428464794,1.7541609488051741,7.516085097571031,1.3114433983218987e-09,3.1795348598014356e-05,600.0,287.6770704457967,234.81945294110744,381.5010297477284,74.69086308158647,237.8702365063265,70.98443103327473,210.04056726153416,215.53428788751341,131.33428460112967,215.53428788751341,64.55473460803677,0.2794887799647769,0.009447981251428,0.7840849047718212,1220.3464868298997
9,340,True,60.0,200.0,0.3888888888888889,1562.7666569741966,29.999999999999993,5.261303059102389,1.6779503181664235,1.7158139084629946,323.7846844955476,0.32802234619927984,0.045342922107911174,3.000006968990468,6.624217239345199,1.7541606976195239,7.499904881048193,1.1474995353921713e-07,5.600937137621788e-05,600.0,277.9664879566013,232.75481629966941,378.14522807148984,73.9076085873348,235.91718092999554,70.77749977614874,208.37153027409903,216.46527390198784,131.5603329546509,216.46527390198784,64.26585201556622,0.2794887799647769,0.009447981251428,0.7817990567440366,1216.7888024603149
10,350,True,60.0,200.0,0.3888888888888889,1547.945762865827,29.999999999999996,5.199741209820073,1.6662785015599744,1.7140950517613154,324.10809136206063,0.3249114630507927,0.045314012386226926,3.000018791664341,6.611362907499178,1.7541613349488745,7.4833050134231875,1.009181881173049e-06,6.336776243250246e-05,600.0,268.9218909009585,230.84910996522945,375.0037671636988,73.17895522301829,234.13413913642728,70.59014682902807,206.85322328692968,217.42668875952398,131.47541651123086,217.42668875952398,64.00341003442811,0.2794887799647769,0.009447981251428,0.7797298637532558,1213.5683190898217
11,360,True,60.0,200.0,0.3888888888888889,1534.1127452395613,29.999999999999996,5.144734091284375,1.655790547844778,1.713922509661338,324.1409034829574,0.3220079336745203,0.045206477204679865,3.000017089877773,6.600786474682696,1.754161478584644,7.469654008919413,5.5709039159523854e-08,3.246351955710918e-05,600.0,260.4132013215029,229.0446644513557,372.16109233077714,72.49948481260616,232.41362997025394,70.40852581286167,205.37935805429512,218.22212181190935,131.16355956049202,218.22212181190935,63.74915168350392,0.2794887799647769,0.009447981251428,0.7777237645848591,1210.446034682245
12,370,True,60.0,200.0,0.3888888888888889,1521.1615111203002,29.999999999999996,5.091467031774348,1.6455809408298672,1.7111785840409035,324.66069835533415,0.31928948931622964,0.045245963840299865,3.0000168559254847,6.589529308459958,1.7541614594821904,7.455131537097903,1.9995631816982495e-08,3.9692327560966794e-05,600.0,252.45927181434047,227.37518773013713,369.4694839091254,71.86386785142162,230.84524552722743,70.24457836426413,204.04220952383767,219.07313598918833,131.27814785868176,219.07313598918833,63.518752788488065,0.2794887799647769,0.009447981251428,0.7759128131359513,1207.6274773741723
13,380,True,60.0,200.0,0.3888888888888889,1509.0139788954382,29.999999999999996,5.039980213223483,1.6356616915325202,1.7083323436829847,325.20205061521096,0.31673974076410377,0.04530079882453158,3.000012821045615,6.577762591485483,1.75416115051093,7.439959590372334,1.4254970359672825e-07,4.689755741276376e-05,600.0,245.00525905756666,225.82680672690861,366.92058928296825,71.26817200712578,229.41143860205077,70.0961435623944,202.82556115602765,219.9675373376664,131.4376014643722,219.9675373376664,63.30935894047523,0.2794887799647769,0.009447981251428,0.7742730845312829,1205.075410589206
14,390,True,60.0,200.0,0.3888888888888889,1497.6026079772735,29.999999999999996,4.992559483049687,1.6264808368899226,1.7097251463234855,324.93839007128037,0.31434451135143243,0.04513515332118358,3.000001182842483,6.567188582026771,1.754160650054875,7.426332377165714,4.0894576613936806e-10,1.740791308885507e-05,600.0,237.96847604621448,224.36259229197321,364.5667130451674,70.7089988730424,228.04318610188017,69.95432207739842,201.6611339107392,220.7755525470668,130.95800685695346,220.7755525470668,63.109239847456074,0.2794887799647769,0.009447981251428,0.772706321999313,1202.6369078965129
15,400,True,60.0,200.0,0.3888888888888889,1486.85016986555,29.999999999999996,4.947424910319106,1.617702029977914,1.7030230745886181,326.21722528117414,0.3120875909333842,0.045405398026978135,3.0000005052966743,6.55676760241679,1.7541599492290736,7.412908729465474,1.1456975812507153e-08,2.75045948661502e-05,600.0,231.33430739085298,222.98857182050273,362.35004480821596,70.18249032830425,226.76572665432047,69.82258977176633,200.575809594888,221.5758582495587,131.74217155591012,221.5758582495587,62.92293161031201,0.2794887799647769,0.009447981251428,0.7712509159928743,1200.3717200373162
16,410,True,60.0,200.0,0.3888888888888889,1476.7062728647754,29.999999999999996,4.903541733602784,1.6091281448283943,1.706958690770743,325.4634406352802,0.30995840236966066,0.045119190247369954,3.0000156980712305,6.54588904456632,1.7541611612282204,7.3989023752338445,1.5549185050645065e-08,3.801136564598887e-05,600.0,225.0820602348592,221.7074284493175,360.2368340519266,69.68611546448176,225.59292753221584,69.70276744911355,199.58450564339333,222.41555237856883,130.9104237794221,222.41555237856883,62.752878393478746,0.2794887799647769,0.009447981251428,0.7699279067311828,1198.3125939213521
17,420,True,60.0,200.0,0.3888888888888889,1467.1240921941376,29.999999999999996,4.8632656944686214,1.6012251901445704,1.70503011919299,325.83176475100873,0.3079471172099339,0.04514572438018637,3.000013947537361,6.536304877559326,1.7541612110809872,7.386568253784211,1.1995737736469891e-11,2.5963869584129583e-05,600.0,219.1447487740312,220.48472724762843,358.28218411767773,69.21752753020337,224.45772032928272,69.5863301362051,198.62052874723193,223.15895329982374,130.98756372097478,223.15895329982374,62.587740249863316,0.2794887799647769,0.009447981251428,0.7686417768220568,1196.3108666764367
18,430,True,60.0,200.0,0.3888888888888889,1458.0546676715164,29.999999999999996,4.823339114988072,1.5933584431841643,1.7004236215005257,326.7159679194309,0.3060434587863868,0.04532231001798269,3.000000033393316,6.525837146787711,1.754160532603459,7.373103122866346,4.4103103391535114e-09,1.6628661659187252e-05,600.0,213.54067830612908,219.34829516688075,356.3954880390926,68.77428398501836,223.427988605145,69.48222054646172,197.75319066806807,223.97478573529804,131.50113597941524,223.97478573529804,62.43929433671214,0.2794887799647769,0.009447981251428,0.7674914986464987,1194.5205785049945
19,440,True,60.0,200.0,0.3888888888888889,1449.4481357153406,29.999999999999996,4.787367474096102,1.5862430859109893,1.69867419483404,327.0507540195243,0.3042369608090304,0.045347838439308896,3.0000155483090856,6.517153330681741,1.7541610147673812,7.361937531581799,4.588866318044893e-07,6.832315505126655e-05,600.0,208.19078032126887,218.24880475882986,354.66291018024253,68.35390623717959,222.40509961482186,69.37764462829914,196.88405796672248,224.6546902714972,131.5738449145329,224.6546902714972,62.290681472123644,0.2794887799647769,0.009447981251428,0.7663365774068889,1192.7230638879605
20,450,True,60.0,200.0,0.3888888888888889,1441.2878432880107,29.999999999999996,4.751289219798499,1.5790795906319883,1.698006626230272,327.18007244543566,0.30252412783058197,0.045322745055002604,3.0000087727182625,6.507405053760147,1.7541608851200987,7.349408452420487,3.216483612789034e-08,4.630477611716535e-05,600.0,203.13178599129748,217.2291163795507,352.9782017069749,67.95554397147052,221.48426775050638,69.28508325128375,196.1093675251279,225.42131404646634,131.50163206638058,225.42131404646634,62.15832651333702,0.2794887799647769,0.009447981251428,0.7653140997274965,1191.1316838775626
21,460,True,60.0,200.0,0.3888888888888889,1433.5324030430224,29.99999999999999,4.716842753616994,1.5722147326189888,1.6998620870421812,326.8226014542994,0.30089627270991104,0.045167052848679626,3.000011913283742,6.497921510151814,1.754161200099958,7.337224886530822,6.131983809609665e-10,2.0411354148957198e-05,600.0,198.3167219711192,216.26235385652484,351.3807012460277,67.5771438620175,220.6139918439135,69.1979004816398,195.37801078914777,226.1705661745132,131.04962469504048,226.1705661745132,62.033470632566086,0.2794887799647769,0.009447981251428,0.7643512273387056,1189.6330732937147
22,470,True,60.0,200.0,0.3888888888888889,1426.1470511303783,29.999999999999986,4.68380643034238,1.5656073226073366,1.7015736261297005,326.489098469633,0.2993460985677372,0.045024144048492774,3.0000557094906286,6.4886222743047295,1.7541620479384583,7.325283136450238,1.7237404392744793e-08,1.9887250892305332e-05,600.0,193.72906294203267,215.34490627845673,349.86056025186946,67.21698117042462,219.7919667443106,69.1158820580595,194.68831778446113,226.90857829530518,130.63116885923603,226.90857829530518,61.91580851627364,0.2794887799647769,0.009447981251428,0.7634456312360718,1188.2236072835794
23,480,True,60.0,200.0,0.3888888888888889,1419.1048993466595,29.999999999999993,4.655296929854041,1.55988659534997,1.6928067816282113,328.1857519078525,0.29786796161102774,0.04543246135937646,3.000002641100147,6.481860624749424,1.754159764467871,7.316603192636005,3.543034274855472e-07,5.1636986538207935e-05,600.0,189.31126785781404,214.43628590799327,348.4908119260998,66.8737195427656,218.93480614627057,69.02841079610867,193.95679415482806,227.44727690560794,131.82050717150886,227.44727690560794,61.79119782879051,0.2794887799647769,0.009447981251428,0.7624784417565684,1186.71827759769
24,490,True,60.0,200.0,0.3888888888888889,1412.3945916025427,29.999999999999996,4.6194514243884965,1.5526688950446288,1.6989683873861068,326.9930790129351,0.2964594782138926,0.04506814093972825,3.0000251178703716,6.468943293451791,1.754161206410682,7.3000285012555075,7.12427825177997e-07,2.2421594381745422e-05,600.0,185.20290223966205,213.6707100390828,346.97893172786866,66.54678274052908,218.3346688217601,68.97317275381833,193.4779557860123,228.48128606228326,130.76148634044353,228.48128606228326,61.7096070262554,0.2794887799647769,0.009447981251428,0.761868916116563,1185.7696144250076
25,500,True,60.0,200.0,0.3888888888888889,1405.978694876544,29.99999999996051,4.588706708177111,1.5464559858915325,1.686897848272472,329.32394812823804,0.2951127912424018,0.045675558798851684,3.000106362567417,6.459087358826048,1.754159901670067,7.287388449801367,1.3725562304500727e-06,4.425189917162893e-05,600.0,181.22622894701263,212.89887370175117,345.625917615208,66.23432682266906,217.67451294111055,68.90935781025283,192.9331343541687,229.27457981307938,132.5166815039326,229.27457981307938,61.61691784198429,0.2794887799647769,0.009447981251428,0.7611634581938207,1184.6716426462046
26,510,True,60.0,200.0,0.3888888888888889,1399.8479531779687,29.999999999998717,4.565835116064311,1.5418203464469729,1.6996065200981811,326.8548805829443,0.2938259578770231,0.044943298104881374,3.0001667039735938,6.454444868840135,1.7541655424884104,7.2814364765101365,5.249044967570171e-07,3.014980391185983e-05,600.0,177.33673124038006,212.0861322569908,344.4946973888243,65.93588317548317,216.88123171304147,68.82712276436544,192.24887255335793,229.64955909595184,130.38695766439733,229.64955909595184,61.50037839416381,0.2794887799647769,0.009447981251428,0.7602575457228854,1183.2616842417597
27,520,True,60.0,200.0,0.3888888888888889,1393.9818953716351,29.99999999966886,4.544360046561743,1.537457688477049,1.6923933894180063,328.2637814453696,0.29259468126195104,0.04527037666589808,3.0000221501646385,6.450277361552183,1.7541616289925313,7.2760945156901995,2.8068513611145818e-06,2.110494126928125e-05,600.0,173.6069432970368,211.30393535029748,343.4251716995365,65.6504390362216,216.11193088853315,68.74758825169583,191.5838080945275,229.98689096607916,131.3485164532836,229.98689096607916,61.387415149832215,0.2794887799647769,0.009447981251428,0.7593773212602378,1181.8917065466449
28,530,True,60.0,200.0,0.3888888888888889,1388.358990562755,29.999999998171518,4.511101825476953,1.530680468503582,1.683147090653447,330.0652316757861,0.29141444210281436,0.04574648313255465,3.0000389946336954,6.436682542524704,1.7541554200701335,7.258675439637621,3.822791256880009e-06,3.311417833255339e-05,600.0,170.1835278931607,210.70237964377256,342.1019051890155,65.3769323288197,215.6948057311196,68.71305102272251,191.26891705080382,231.09204192305947,132.72841226584532,231.09204192305947,61.334143452695116,0.2794887799647769,0.009447981251428,0.7589931408237258,1181.2937697120585
29,540,True,60.0,200.0,0.3888888888888889,1382.9688403991636,29.99999999850457,4.492490862471572,1.5268763707874236,1.6876819108375694,329.1825907453603,0.2902830577721587,0.045449028731968745,3.0000002796766334,6.433604090811593,1.7541594844042792,7.254732482858118,1.1622333317973244e-08,2.6635039573888235e-05,600.0,166.73610456103697,209.9707822572774,341.15227016936893,65.1148443260866,214.9602028471577,68.63622342426851,190.62988796167448,231.3433078521419,131.8687843526219,231.3433078521419,61.22549759481278,0.2794887799647769,0.009447981251428,0.7581462723189164,1179.9757070910825
30,550,True,60.0,200.0,0.3888888888888889,1377.7901204697084,29.999999999999996,4.466035548808253,1.5214563131352095,1.6939780426166662,327.9309254089907,0.2891960523151374,0.045089755010100825,3.000257971637127,6.424092283882251,1.7541707909762614,7.242552955898997,6.985827614158779e-07,5.3781828751544616e-05,600.0,163.52493662462348,209.3685992419554,340.04079165791427,64.86312655474617,214.47234248588236,68.5904425889277,190.23542235165988,232.12204464325214,130.80389170875793,232.12204464325214,61.15832629760917,0.2794887799647769,0.009447981251428,0.7576454669476052,1179.1962556927126
